CircuitId,Name,City,Country,Url
1,Albert Park Grand Prix Circuit,Melbourne,Australia,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
3,Bahrain International Circuit,Sakhir,Bahrain,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
4,Circuit de Barcelona-Catalunya,Montmeló,Spain,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
6,Circuit de Monaco,Monte-Carlo,Monaco,http://en.wikipedia.org/wiki/Circuit_de_Monaco
7,Circuit Gilles Villeneuve,Montreal,Canada,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
9,Silverstone Circuit,Silverstone,UK,http://en.wikipedia.org/wiki/Silverstone_Circuit
11,Hungaroring,Budapest,Hungary,http://en.wikipedia.org/wiki/Hungaroring
13,Circuit de Spa-Francorchamps,Spa,Belgium,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
14,Autodromo Nazionale di Monza,Monza,Italy,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
15,Marina Bay Street Circuit,Marina Bay,Singapore,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
18,Autódromo José Carlos Pace,São Paulo,Brazil,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
21,Autodromo Enzo e Dino Ferrari,Imola,Italy,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
22,Suzuka Circuit,Suzuka,Japan,http://en.wikipedia.org/wiki/Suzuka_Circuit
80,Las Vegas Strip Street Circuit,Las Vegas,United States,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit
24,Yas Marina Circuit,Abu Dhabi,UAE,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
32,Autódromo Hermanos Rodríguez,Mexico City,Mexico,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
39,Circuit Park Zandvoort,Zandvoort,Netherlands,http://en.wikipedia.org/wiki/Circuit_Zandvoort
69,Circuit of the Americas,Austin,USA,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
70,Red Bull Ring,Spielberg,Austria,http://en.wikipedia.org/wiki/Red_Bull_Ring
73,Baku City Circuit,Baku,Azerbaijan,http://en.wikipedia.org/wiki/Baku_City_Circuit
77,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit
78,Losail International Circuit,Al Daayen,Qatar,http://en.wikipedia.org/wiki/Losail_International_Circuit
79,Miami International Autodrome,Miami,USA,http://en.wikipedia.org/wiki/Miami_International_Autodrome
